class,model_name,description,status
Agriculture,LP14,14 Ft Land Pro,0
Agriculture,LP18,18 Ft Land Pro,1
Agriculture,PD14,14 Ft Production Dozer,1
Agriculture,PD16,16 Ft Production Dozer,1
Agriculture,PD18,18 Ft Production Dozer,1
Cable Reel,14CR1X,14 ft. Single Axle Cable Reel,1
Chassis,12CC2X,12 Ft. Tandem Container Chassis,0
Chassis,20PC2X,20 Ft. Tandem Electric Brake,0
Chassis,27CC2X,27 ft. Tandem Pull B-Train,1
Chassis,27CC3X,27 ft. Tridem Lead B-Train,1
Chassis,30CC2X,30 Ft. Tandem Container Chassis,0
Chassis,30PC3X,30 Ft. Tridem Electric Brake,0
Chassis,40CC3X,40 ft. Container Chassis,1
Chassis,40CC3X53EXT,40 ft. Extendible Container Chassis,1
Chassis,42CC3X,42 Ft. Container Chassis,1
Chassis,Pony 3X17,Pony Trailer Quad,1
Container Chassis,10GT1X,Single Axle - Glass,1
Container Chassis,10GT2X,Tandem - Glass,0
Container Chassis,12GT1X,Single Axle - Glass,0
Container Chassis,12GT2X,Tandem - Glass,1
Container Chassis,20VT1V Mexico,20 ft. 1 Van - DCI Mexico,0
Container Chassis,25VT2V DCI,25 ft. 2 Van - DCI,0
Container Chassis,26VT1V Mexico,26 ft. Single Axle,0
Container Chassis,30DT3X-CHASSIS,30 ft. Dump Chassis,0
Container Chassis,33VT2V DCI Tag,33 ft. 2 Van - DCI Tag,1
Container Chassis,34VT1V Hostler,34 ft. Single Axle,0
Container Chassis,38GT1X,38 ft. Single Axle - Glass,0
Container Chassis,38GT2X,38 ft. Tandem - Glass,0
Container Chassis,40CC2X,40 ft. Tandem,0
Container Chassis,40GT1X,40 ft. Single Axle - Glass,0
Container Chassis,40GT2X,40 ft. Tandem - Glass,1
Container Chassis,40VT2V Mexico,40 ft. 2 Van - DCI Mexico,1
Container Chassis,42VT2V Mexico,42 ft. 2 Van - DCI Mexico,0
Container Chassis,47GT2X,47 ft. Tandem - Glass,0
Container Chassis,48GT2X,48 ft. Tandem - Glass,0
Container Chassis,51GT2X,51 ft. Tandem - Glass,0
Container Chassis,51VT2V DCI,51 ft. 2 Van - DCI,0
Container Chassis,51VT4V DCI,51' 4 Van - DCI,1
Container Chassis,53VT2V CAL,53 ft. 2 Van - California,1
Container Chassis,53VT2V DCI,53 ft. 2 Van - DCI,1
Container Chassis,53VT2V DCI LD,53 ft. 2 Van - DCI Low Deck,0
Container Chassis,53VT2V FL CA,53 ft. 2 Van - Frito Lay Canada,1
Container Chassis,53VT2V FL CA-53,53 ft. 2 Van - Frito Lay Canada,1
Container Chassis,53VT2V FL CA-97,53 ft. 2 Van - Frito Lay Canada,1
Container Chassis,53VT2V FL US,53 ft. 2 Van - Tandem Axle Truck Frito Lay US,0
Container Chassis,53VT2V FL US-97,53 ft. 2 Van - Tandem Axle Truck Frito Lay US,1
Container Chassis,53VT2V Frito Lay,53 ft. 2 Van - DCI Frito Lay,0
Container Chassis,53VT2V JB HUNT,53 ft. 2 Van - J.B. Hunt,1
Container Chassis,53VT2V Penske,53 ft. 2 Van - DCI PENSKE,1
Container Chassis,53VT2VSAT Frito Lay US 2018,53 ft. 2 Van - Single Axle Truck Frito Lay US,0
Container Chassis,53VT2VTAT Frito Lay US 2018,53 ft. 2 Van - Tandem Axle Truck Frito Lay US,0
Container Chassis,53VT3V DCI,53 ft. 3 Van - DCI,1
Container Chassis,53VT3V PENSKE,53 ft. 3 Van - PENSKE,1
Container Chassis,53VT3X DCI V2021,53 ft. 3 Van - DCI,1
Converters/Boosters,11CD1X,11 Ton Single Axle Convertor Dolly,0
Converters/Boosters,11SB1X,11 Ton Steer Single Axle Booster,1
Converters/Boosters,11SB1X SB,11 Ton Steer Single Axle Booster,0
Converters/Boosters,11SB2X SB,11 Ton Steer Tandem Axle Booster,0
Converters/Boosters,22CD2X,22 Ton Converter Dolly Tandem,0
Dump,26DT2X,26 ft. Tandem 1/4 Frame U-Body,0
Dump,27DT2X,27 ft. Tandem 1/4 Frame U-Body,0
Dump,27DT2X HV,27 ft. Tandem 1/4 Frame U-Body High Volume,0
Dump,27DT2X V2018,27 ft. Tandem 1/4 Frame U-Body,1
Dump,27DT2XU,27 ft. Tandem 1/4 Frame U-Body,0
Dump,27PD2X,28 ft. Tandem Pup Dump,0
Dump,28DPT2X,28 ft. Tandem Pup Chassie,0
Dump,28DPT3X,28 ft. Tridem Pup Chassie,0
Dump,32DT3X,32 ft. Tridem 1/4 Frame U-Body,0
